study_id,trial_number,trial_mode,box_number,distance_traveled,trial_time
s101,70,2,8,0.7253451495007375,2947
s101,71,1,12,0.7930560376202997,3447
s101,72,1,12,0.6933360685137564,2787
s101,73,2,4,0.48076278635616015,1773
s101,74,1,12,0.8814355770930916,3164
s101,75,3,12,0.8969793007072433,3845
s101,76,4,8,0.33543865986194993,1667
s101,77,3,8,0.6571377850920876,2464
s101,78,4,4,0.49049125257937554,1865
s101,79,2,4,0.8287677379788279,2869
s101,80,3,12,0.9853547668499466,4182
s101,81,4,8,0.5379587387825279,2185
s101,82,3,12,0.7246977329410973,3125
s101,83,4,12,1.1445290431643018,4540
s101,84,4,12,1.1814232844154782,6096
s101,85,2,4,0.821319927983538,2649
s101,86,3,12,0.6748977589599529,2741
s101,87,3,4,0.38191902323881666,1361
s101,88,4,8,3.4785957894639976,9752
s101,89,3,12,0.8209416716091609,3787
s101,90,1,12,0.7696157831682131,3140
s101,91,2,8,0.9217416710870294,4303
s101,92,3,4,0.310904566132354,1165
s101,93,4,4,0.3683157259365723,1293
s101,94,2,8,0.9620358798912196,4025
s101,95,2,12,1.3672937243340404,5526
s101,96,2,4,0.6851826608838358,2461
s101,97,4,12,1.6651639753927845,5413
s101,98,2,8,2.054956967245914,7014
s101,99,3,8,0.6036829171221539,2442
s101,100,4,4,0.6951459972932019,2896
s101,101,1,12,0.8465040292112593,3737
s101,102,4,12,0.7111555445442721,2922
s101,103,2,4,0.17791172605477198,903
s101,104,2,12,1.6052777264519953,5621
s101,105,2,12,2.656815084494537,10198
s101,106,4,8,1.109564897620973,4330
s101,107,3,4,0.5472569210399727,1807
s101,108,3,8,0.3494780542274606,1574
s101,109,1,12,0.7493578522732309,3418
s101,110,2,12,2.302692879015414,8349
s101,111,1,4,0.5401422279648753,1235
s101,112,2,8,0.6662491128123572,2544
s101,113,2,4,0.6923013988720846,2422
s101,114,4,8,1.582362652975987,4875
s101,115,3,8,0.6558971787909829,2483
s101,116,3,12,0.8297569655287929,3390
s101,117,1,8,0.7394508373613096,2838
s101,118,4,4,0.7949912635121402,2455
s101,119,4,4,0.4972001085338187,1496
s101,120,4,4,0.4549296533389142,1452
s101,121,2,12,0.9089010825743928,3389
s101,122,2,4,0.3693737191664644,1212
s101,123,4,4,0.3421448481178693,1162
s101,124,3,4,0.5128497914342112,1518
s101,125,1,8,0.73243769062724,2836
s101,126,2,4,0.5392188157641307,1520
s101,127,1,4,0.45261089781539415,1476
s101,128,1,12,0.6424153360221132,2455
s101,129,1,8,0.804935326524255,3484
s101,130,4,12,2.577875810316268,9808
s101,131,1,8,0.7510945895951667,2718
s101,132,1,12,0.9301310520470208,3458
s101,133,1,12,0.9690872492709052,3213
s101,134,2,4,0.29818730212589595,1208
s101,135,2,12,0.9868439217558522,4357
s101,136,1,8,0.7371730093137603,2768
s101,137,4,12,2.930519682178619,9074
s101,138,3,12,0.879597306133985,2700
s101,139,2,8,1.4931304119290725,4883
s101,140,3,12,0.9426190585527138,3334
s101,141,4,8,0.8914048200382924,3416
s101,142,3,8,0.6720444760268065,2763
s101,143,2,12,0.768115714846433,2929
s101,144,3,12,1.0087806360943352,3396
s101,145,4,12,0.8912606570380777,3475
s101,146,2,12,1.0199642766522623,3528
s101,147,4,8,0.5291292210375254,2189
s101,148,4,4,0.7671116555437245,1965
s101,149,2,12,0.7686139254310973,2961
s101,150,1,4,0.3529106365731005,1085
s101,151,1,8,0.5022668082888927,1698
s101,152,3,4,0.4294467294797634,1450
s101,153,4,12,1.0139977250578156,3648
s101,154,2,4,0.31797729930963337,1139
s101,155,2,4,0.4383421784684127,1602
s101,156,4,8,0.799835224070402,2706
s101,157,1,12,0.7969618208402997,2832
s101,158,2,8,0.8538666078408971,2412
s101,159,4,4,0.513690820664024,1407
s101,160,3,8,0.5148830923495757,2082
s101,161,2,8,1.124475654510175,2933
s101,162,1,4,0.42473974762741457,1202
s101,163,1,4,0.2886094818542864,863
s101,164,4,8,0.9320208482122248,3114
s101,165,4,12,1.4298907565358656,4499
s101,166,1,8,0.6365260055216792,2251
s101,167,3,12,0.6975425675470082,2560
s101,168,2,8,0.5530499201953678,2233
s101,169,4,4,0.6687119570150395,1899
s101,170,2,8,1.4513138477835934,4254
s101,171,4,8,1.491889381289852,3905
s101,172,4,8,0.5394579346706947,1726
s101,173,3,8,0.5967135229435451,2358
s101,174,2,12,1.0553247677737545,3247
s101,175,1,12,1.01348715549266,3520
s101,176,4,12,1.397237591796884,4509
s101,177,3,12,0.8417109697052626,3390
s101,178,4,8,0.7983289905877412,3804
s101,179,3,8,0.6828392981777637,2264
s101,180,1,8,0.6357509431109208,2365
s102,1,3,12,0.705330490407318,4073
s102,2,4,12,4.142941772066767,46535
s102,3,1,8,0.5964308611401306,2899
s102,4,1,4,0.4325461506232708,1883
s102,5,2,12,2.6840223841738986,23847
s102,6,3,8,0.7118639577345869,2857
s102,7,2,4,0.2803025086750746,1726
s102,8,4,8,0.6245029080105728,4001
s102,9,4,4,0.3224237962391593,1452
s102,10,1,4,0.4430400730538536,2020
s102,11,3,4,0.38402046917835486,1472
s102,12,4,12,1.1086625434159478,7461
s102,13,3,4,0.30221527105836765,1388
s102,14,1,12,0.9541598443593766,4194
s102,15,4,8,0.7141041078972824,3799
s102,16,2,8,0.42680913497235634,2946
s102,17,3,8,0.6620073748022496,2626
s102,18,2,4,0.8138285792500648,2687
s102,19,4,12,0.7886120242321805,4248
s102,20,1,4,0.31550888421139023,1419
s102,21,1,4,0.3644244405462811,1454
s102,22,2,12,1.3625510966963337,8187
s102,23,2,4,0.5666258628281734,3191
s102,24,3,12,1.044063051086357,4785
s102,25,4,8,0.6736787022906774,3420
s102,26,1,8,1.2112020729814983,4517
s102,27,1,8,0.6237006423257684,2871
s102,28,4,4,0.6998456043384718,3358
s102,29,1,8,0.5520039723211448,3024
s102,30,4,4,0.5640447054608257,2630
s102,31,2,12,1.7793382091536156,10412
s102,32,4,4,0.35166148966167404,1901
s102,33,1,4,0.5401352045009121,2035
s102,34,3,8,0.8458403345796046,2977
s102,35,4,4,0.2010792603012053,1158
s102,36,4,4,0.4335533955526735,2477
s102,37,1,4,0.5279561848027648,2477
s102,38,1,12,0.8739717847249208,3910
s102,39,4,8,0.48763021012961033,2422
s102,40,2,8,0.9279883232533988,5416
s102,41,4,8,0.464818843041068,2525
s102,42,3,4,0.3631569963364236,1123
s102,43,3,12,0.772905947319598,3425
s102,44,4,4,0.7292935254210365,3879
s102,45,1,4,0.5288184009507225,1910
s102,46,4,12,1.133587360470824,6225
s102,47,1,12,0.9749365104247132,3959
s102,48,1,12,0.8890503900670196,3979
s102,49,4,4,0.6196197724766535,3010
s102,50,3,4,0.4244130253675931,1517
s102,51,1,8,0.9239877563611592,2902
s102,52,4,4,0.6583387864744595,2706
s102,53,1,8,0.7258794759695842,2950
s102,54,2,8,0.7471281825009688,2840
s102,55,4,12,0.7273902848998252,3696
s102,56,4,4,0.3501626884616373,1777
s102,57,2,12,1.229329866976951,5937
s102,58,3,8,0.8965910934141771,2954
s102,59,2,12,1.1680645019075664,6292
s102,60,1,4,0.4378238770784008,1729
s102,61,2,4,0.4074005505254751,1402
s102,62,4,12,1.8411541780108516,7524
s102,63,1,4,0.3701069564547882,1466
s102,64,4,8,0.8933560327169726,3681
